frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
20.00,0.03,-3.20,0.03,-3.19,3.19,3.14,3.23,3.23,3.23
20.20,0.10,-3.15,0.10,-3.15,3.15,3.14,3.25,3.25,3.25
20.40,0.16,-3.10,0.17,-3.11,3.11,3.13,3.27,3.27,3.27
20.61,0.23,-3.07,0.23,-3.06,3.06,3.12,3.30,3.30,3.30
20.81,0.29,-3.02,0.30,-3.02,3.02,3.11,3.31,3.32,3.32
21.02,0.36,-2.97,0.36,-2.98,2.98,3.08,3.34,3.34,3.34
21.23,0.42,-2.93,0.42,-2.93,2.93,3.06,3.35,3.36,3.35
21.44,0.48,-2.89,0.49,-2.89,2.89,3.03,3.37,3.37,3.37
21.66,0.55,-2.84,0.55,-2.84,2.84,2.99,3.39,3.39,3.39
21.87,0.61,-2.80,0.62,-2.80,2.79,2.95,3.41,3.41,3.41
22.09,0.68,-2.75,0.68,-2.75,2.75,2.91,3.43,3.43,3.43
22.31,0.75,-2.70,0.75,-2.70,2.70,2.87,3.45,3.45,3.46
22.54,0.82,-2.66,0.82,-2.65,2.65,2.82,3.48,3.48,3.48
22.76,0.89,-2.60,0.89,-2.60,2.61,2.76,3.50,3.50,3.50
22.99,0.96,-2.55,0.96,-2.56,2.56,2.71,3.52,3.52,3.52
23.22,1.02,-2.51,1.03,-2.51,2.51,2.65,3.54,3.54,3.53
23.45,1.09,-2.47,1.09,-2.47,2.47,2.60,3.56,3.56,3.56
23.69,1.16,-2.42,1.16,-2.42,2.42,2.54,3.58,3.58,3.58
23.92,1.23,-2.38,1.23,-2.37,2.37,2.47,3.61,3.61,3.61
24.16,1.30,-2.33,1.30,-2.33,2.32,2.41,3.63,3.63,3.63
24.40,1.37,-2.27,1.37,-2.27,2.28,2.35,3.65,3.65,3.65
24.65,1.44,-2.22,1.44,-2.23,2.23,2.29,3.67,3.67,3.67
24.89,1.51,-2.17,1.51,-2.18,2.18,2.22,3.69,3.69,3.69
25.14,1.58,-2.13,1.59,-2.12,2.12,2.16,3.71,3.71,3.72
25.39,1.66,-2.07,1.66,-2.07,2.07,2.09,3.73,3.73,3.73
25.65,1.73,-2.02,1.73,-2.02,2.02,2.03,3.75,3.75,3.75
